Evaluator,Reviewer 1,Reviewer 2,id,viewcount,title,body,tags,answercount,url,Irrelevant,Category,Main Problem
P,M,,42751263,26,"""onOnSomething"" naming method convention","<p>i have the following classes in my project:</p>

<p>Archer(who inherits from Character), Character(who inherits from TargetableObject) and TargetableObject.</p>

<p>then, TargetableObject has a method called ""die()"" that calls an abstract method called onDie(implemented in Character).
then again, the implementaition of Character's onDie calls another abstract method to be implemented in Archer.</p>

<p>So, i don't know how to name that method, by now it's onOnDie, but there's probably something more apropriated, maybe even something conventioned like the ""on"" itself.</p>

<p>Sorry for my bad english, ty for reading. </p>",java naming conventions,2,https://stackoverflow.com/questions/42751263,1,,
P,M,,37884152,5456,How do I check the equality of three values elegantly?,"<p>Say I have values , and . I want to find out if they are equal. If I do</p>

<pre></pre>

<p>Then I get a compile error</p>

<pre></pre>

<p>This is pretty obvious, because this parses to:</p>

<pre></pre>

<p>And is a bool.</p>

<p>Of course I can do:</p>

<pre></pre>

<p>However, this isn't very nice looking and feels confusing. Is there another way?</p>",go syntax equality readability convention,2,https://stackoverflow.com/questions/37884152,1,,
P,M,,15033539,3340,Folder Name Convention Java,"<p>What do you call a folder where you save information (Games saves, highscores, etc). Its just a naming conventioon question. By default you have src and for resources you can make a fodler called res and add it to the build path. I just want to ask out of curiosity what one would call a folder where you write information. I was thinking either sav (for save) or writ (for write). I'm using eclipse so i know how to add the folders to the buildpath.</p>",convention,2,https://stackoverflow.com/questions/15033539,1,,
P,M,,11459405,1340,Why do 3 digit hex css colors convert to 6 the way they do?,"<p>I'm aware that the method to convert a 3 digit hex css color to 6 digit code is by duplicating each hex digit once, as below.</p>

<pre></pre>

<p>Why does it work this way? Why isn't equivalent to ?</p>",css styles convention,2,https://stackoverflow.com/questions/11459405,1,,
P,M,,19254973,122,Naming convention for controller used to parse a page in Rails,"<p>I want to have a page where a User can enter a URL and on the back the page will be parsed and show back some information found in the page.</p>

<p>I am wondering what would be a naming convention for this case, given the fact that there is no model associated with this. It is just a pure processing of a URL and show some information back.</p>

<p>I was thinking giving the controller the name <strong>ParseController</strong>, but I am also thinking about the convention of giving plural names for controllers.</p>",ruby-on-rails naming convention,2,https://stackoverflow.com/questions/19254973,1,,
P,M,,3454501,115,conditionally setting and conditionally using a variable python,"<p>I know it is bad convention/design to conditionally declare a variable. i.e.:</p>

<pre></pre>

<p>where x is not declared anywhere else. But is it bad to conditionally declare a variable if you only use it later on if that condition is met? </p>

<pre></pre>",python convention,3,https://stackoverflow.com/questions/3454501,1,,
P,M,,41423427,32,Best way of creating dynamic conditions in sql functions,"<p>I have a challenge regarding some ""too much code produced"" or not most elegant coding way issue:</p>

<pre></pre>

<p>Is there a possibility to get rid of the initial statement and add it more closely to the clause?</p>

<p>My issue is that the case statement doesn't work as I can't do a Location equals or IS NOT NULL statement. </p>",sql-server function convention,2,https://stackoverflow.com/questions/41423427,1,,
P,M,,44377777,358,How to comment SQL statements in Notepad++?,"<p>How can I ""block comment"" SQL statements in Notepad++?</p>

<p>For example:</p>

<pre></pre>

<p>It should be wrapped with at the start and at the end using regex in Notepad++ to produce:</p>

<pre></pre>",regex string notepad++ commenting,2,https://stackoverflow.com/questions/44377777,,Implementation Strategies,IDE & Editor | Syntax & Format | Inline comments
P,M,,500184,325,Maintenance commenting,"<p>What special techniques you use when modifying existing code? </p>

<p>Eg: Say you modify a business rule inside a method. Do you mark the modified section with special comments?</p>

<p>Any coding/commenting standards you use when modifying code?</p>",maintenance commenting code-comments,10,https://stackoverflow.com/questions/500184,,Best practice,Commenting high level | maintain comments
P,M,,35259915,301,Swift - How to download & display comments under post?,"<p>I have managed to setup a commenting system for my app (using Parse). and so far I have a button which I click, which then redirects me to a new TVC when it displays my comments and I have the option to write a new one.</p>

<p>What I would like to achieve now, but I'm getting slighty confused, is to display the latest 3 comments below the image like (Instagram or more social networks do nowadays)...I'm just not to sure how to approach this and how to have them repeating or displaying 3 below the Post?!</p>

<p>I have set this up in my storyboard (image Below), I was just playing around hoping I would figure it out! Buttons would be the username, and Label the comment.</p>

<p>If anyone can help me or put me in the correct direction (or link a previous question, I haven't managed to find any) that would be great! possibly even a little explanation of how maybe instagram does it?!</p>

<p>Best regards.</p>

<p><a href=""https://i.stack.imgur.com/0emP4.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0emP4.png"" alt=""enter image description here""></a></p>",swift parse-platform tableview commenting,1,https://stackoverflow.com/questions/35259915,1,,
P,M,,2909241,1039,Should .net comments start with a capital letter and end with a period?,"<p>Depending on the feedback I get, I might raise this ""standard"" with my colleagues. This might become a custom StyleCop rule. is there one written already?</p>

<p>So, Stylecop already dictates this for , , and documentation tags.</p>

<p>Do you think it makes sense to demand the same from comments?</p>

<p>On related note: if a comment is already long, then should it be written as a proper sentence?</p>

<p>For example (perhaps I tried too hard to illustrate a bad comment):</p>

<pre></pre>

<p>vs.</p>

<pre></pre>

<p>If figured - most of the time, if one bothers to write a comment, then it might as well be informative. Consider these two samples:</p>

<pre></pre>

<p>and</p>

<pre></pre>

<p>Arguably, one does not need a comment at all, but since one is provided, I would think that the second one is better.</p>

<p>Please back up your opinion. Do you have a good reference for the art of commenting, particularly if it relates to .Net?</p>

<p>Thanks.</p>",.net coding-style code-comments,5,https://stackoverflow.com/questions/2909241,,Best practice,Commenting highlevels | Grammar Rules
P,M,,33901696,442,C# Comment Template,"<p>Would anyone happen to know if you can make a custom template for comments in c#? I use a modification of the RME style of commenting instead of the section. Unfortunately, I don't have a ghost doc pro subscription.</p>

<p>I would like it to work just like visual studio where I type '///' and it creates the template of the comment. I have seen similar questions saying you can't do this but they date form 2010 and it seemed to be a highly requested feature.</p>",c# ghostdoc autocommenting,1,https://stackoverflow.com/questions/33901696,,Limitation and Possibilites,Language | Comment Template
P,M,,9219807,92369,Using Javascript inside a PDF,"<h2>Where can I find Documentation on running Javascript inside a PDF?</h2>

<p>I've never added a javascript action inside a pdf. However, I've done quite a bit of web development using javascript. I have a few questions to whoever has any familiarity with javascript inside a PDF.</p>

<p>NitroPDF and Adobe Acrobat definitely support javascript in PDFs. <strong>Is there a standard on various objects that exist and functions to manipulate a pdf via javascript?</strong> Everything I've found so far has been from Adobe. Anywhere else seems to reference Adobe's docs. Is there a standard out there, or is Adobe just the ""de Facto"" standard ?</p>

<p>Also, <strong>Do all PDF Viewers support javascript actions?</strong></p>

<p>The best docs on using javascript inside a pdf document that I could find was from Adobe - <a href=""http://partners.adobe.com/public/developer/en/acrobat/sdk/AcroJSGuide.pdf"" rel=""noreferrer"">Adobe :: Acrobat Javascript Scripting Guide</a>.</p>

<p>NitroPDF has this link - <a href=""http://www.nitropdf.com/help/pdf_javascript.htm"" rel=""noreferrer"">NitroPDF :: Javascript in PDF Files</a>, but it basically just says it supports what Adobe has.</p>

<p>I also found this link from Scribus - <a href=""http://wiki.scribus.net/canvas/How_to_enhance_your_PDF_forms_with_JavaScript"" rel=""noreferrer"">Scribus :: How to enhance your PDF forms with JavaScript</a>, but this only includes a few small snippets of code. Nothing super useful.</p>

<p>Adobe has docs on how you can set breakpoints etc... for javascript using their IDE. Is it possible to run javascript in a pdf using another IDE and have breakpoints etc...? Would be awesome to find something as cool as <a href=""http://getfirebug.com/"" rel=""noreferrer"">Firebug</a>.</p>

<h2>Note:</h2>

<p>Please do not answer how to manipulate a PDF that is loaded in a web browser. The question is about running javascript from within a PDF document. I'm trying to explore the possibilities available via executing javascript in the PDF document. Specifically I may use functions from <a href=""http://www.quickpdflibrary.com/help/quickpdf/JavaScript.php"" rel=""noreferrer"">quickpdflibrary</a> to add javascript functionality to existing documents.</p>

<h2>Edit</h2>

<p>Another useful link is <a href=""http://www.planetpdf.com/developer/article.asp?ContentID=6622"" rel=""noreferrer"">Developing with Acrobat Javascript</a>. Apparently js in PDFs is frequently called AcroJS or Acrobat JavaScript.</p>",javascript pdf documentation acrobat pdf-manipulation,5,https://stackoverflow.com/questions/9219807,1,,
P,M,,6030567,11564,Automatic documentation tool for eclipse Java,"<p>is there an automatic documentation tool for eclipse? (Like the Ghost Doc Tool)
I'm working in Java and i want a reccomended tool.</p>

<p>thanks</p>",java documentation,3,https://stackoverflow.com/questions/6030567,1,,
P,M,,30939867,6557,How to properly write cross-references to external documentation with intersphinx?,"<p>I'm trying to add cross-references to external API into my documentation but I'm facing three different behaviors.</p>

<p>I am using sphinx(1.3.1) with Python(2.7.3) and my intersphinx mapping is configured as:</p>

<pre><code>{
'python': ('https://docs.python.org/2.7', None),
'numpy': ('http://docs.scipy.org/doc/numpy/', None),
'cv2' : ('http://docs.opencv.org/2.4/', None),
'h5py' : ('http://docs.h5py.org/en/latest/', None)
}
</code></pre>

<p>I have no trouble writing a cross-reference to numpy API with <code>:class:`numpy.ndarray`</code> or <code>:func:`numpy.array`</code> which gives me, as expected, something like <a href=""http://docs.scipy.org/doc/numpy/reference/generated/numpy.ndarray.html#numpy.ndarray"" rel=""noreferrer"">numpy.ndarray</a>.</p>

<p>However, with h5py, the only way I can have a link generated is if I omit the module name. For example, <code>:class:`Group`</code> (or <code>:class:`h5py:Group`</code>) gives me <a href=""http://docs.h5py.org/en/latest/high/group.html#Group"" rel=""noreferrer"">Group</a> but <code>:class:`h5py.Group`</code> fails to generate a link.</p>

<p>Finally, I cannot find a way to write a working cross-reference to OpenCV API, none of these seems to work:</p>

<pre><code>:func:`cv2.convertScaleAbs`
:func:`cv2:cv2.convertScaleAbs`
:func:`cv2:convertScaleAbs`
:func:`convertScaleAbs`
</code></pre>

<p>How to properly write cross-references to external API, or configure intersphinx, to have a generated link as in the numpy case?</p>",python opencv documentation python-sphinx autodoc,5,https://stackoverflow.com/questions/30939867,,Implementation Problems,Tool | Asking for Feature
P,M,,10845460,5128,"Share project documents in TFS different ways, what are your best practices?","<p>I am wondering what your best practice is regarding managing (and versioning) different kind of project documents (like versioning targeted docs like: use cases, master test plan, qa plan and non-versioning related docs like MinutesOfMeetings for example) in TFS 2010. </p>

<p>Are you using </p>

<ol>
<li>Team Wiki or </li>
<li>Shared Documents or</li>
<li>Source control</li>
</ol>

<p>?</p>",tfs documentation tfs2010,3,https://stackoverflow.com/questions/10845460,1,,
P,M,,21503183,4937,Bootstrap 3.1 documentation - Download examples,"<p>I'm totally new to Bootstrap. After some initial success I came across a very silly problem.</p>

<p>On the website of getbootstrap.com there are some examples:</p>

<p><a href=""http://getbootstrap.com/getting-started/#examples"" rel=""nofollow noreferrer"">http://getbootstrap.com/getting-started/#examples</a></p>

<p>But I can not find the way to download them. Can you please help me?</p>

<p>I would really appreciate your help!</p>

<p>Thank you!</p>",twitter-bootstrap documentation,3,https://stackoverflow.com/questions/21503183,1,,
P,M,Seba,17580248,3925,Javadocs link to external javadoc,"<p>I am generating Javadocs. Now I would like to automatically link all library- and JDK classes to the official docs of that lib or JDK. Is that possible, and if so, which command line args do i need</p>",java documentation javadoc,1,https://stackoverflow.com/questions/17580248,1,,
P,M,,32376605,3868,Documentation for c3p0 ComboPooledDataSource class?,"<p>I need documentation for ComboPooledDataSource class from c3p0 library. The one I find on developer's web site contains only method names, but not a single line of explanation about what each method does. Please, don't tell me this is an old library, that is not developed etc. - I have some quite old code to look at, and I am not able to change the library currently. I need some short explanation at least for the following methods:</p>

<pre><code>setConnectionTesterClassName(connectionTesterClassName);
setIdleConnectionTestPeriod(idleConnectionTestPeriod);
setLoginTimeout(seconds);
setMaxConnectionAge(maxConnectionAge);
setMaxIdleTime(maxIdleTime);
setTestConnectionOnCheckin(testConnectionOnCheckin);
setTestConnectionOnCheckout(testConnectionOnCheckout);
setUnreturnedConnectionTimeout(unreturnedConnectionTimeout);
</code></pre>

<p>The issue I am trying to solve is with idle connections not being available after some time of inactivity, so on first usage after a long pause, my application is not able to connect to the database, and I get connection timeout after some time, but it is OK on the second usage.</p>",documentation connection-pooling c3p0,1,https://stackoverflow.com/questions/32376605,1,,
P,M,,3389459,3838,How to provide the javadoc in other languages?,"<p>We frequently integrate with services developed and maintained in other countries like Spain, Chile, India etc. I see consitently that the services/API calls from Spain and Chile are in Spanish. But we want our code to be English and Javadoc to be both in English and Spanish. I am seeking the best way to achieve this. </p>

<p>Is there a common accepted standard for this kind of scenario?</p>

<p>Below is the example of second last name that is specific to Spain. getLastName() is clear enough for English speaking people but this API is also exposed to Spanish speaking people and hence I added a Javadoc as you see below.</p>

<pre><code> /**
 * Segundo Apellido
 */
 String getSecondLastName();
</code></pre>",documentation internationalization javadoc,3,https://stackoverflow.com/questions/3389459,,Best practice,Language | Adopt Other language style
P,M,,776388,3731,Qt-style documentation using Doxygen?,"<p>How do I produce Qt-style documentation (Trolltech's C++ Qt or Riverbank's PyQt docs) with Doxygen? I am documenting Python, and I would like to be able to improve the default function brief that it produces.</p>

<p>In particular, I would like to be able to see the return type (which can be user specified) and the parameters in the function brief.</p>

<p>For example:</p>

<pre><code> Functions:

 int getNumber(self)
 str getString(self)
 tuple getTuple(self, int numberOfElements=2)

 Function Documentation:

 int getNumber(self)

 gets the number of items within a list as specified...

 Definition at line 63 of ....

 etc...
</code></pre>

<p>If this isn't possible without modifying the source, maybe there is another tool other than Doxygen that handles Python documentation in this kind of way?</p>",python documentation doxygen,4,https://stackoverflow.com/questions/776388,,Implementation Strategies,Tool | Asking for Feature
P,M,,862298,2734,MS Word is evil! Is there a good alternative?,"<p>As a developer I really don't like writing documentation but when I have to I'd like to make the process as painless as possible.</p>

<p>The problem with Word is that it <em>constantly gets in my way</em>. I worry more about the layout than about the actual content ... that's why I'd like to get rid of Word.</p>

<p>Ideally I'd like to write my content and then 'compile' it into a document.</p>

<p>I've heard of <a href=""http://www.latex-project.org"" rel=""nofollow noreferrer"">LaTeX</a> but I don't have any experience with it whatsoever. Would this be the right technology for the job? What editor (Windows) should I use? Is it a good idea to start with <a href=""http://www.lyx.org/"" rel=""nofollow noreferrer"">LyX</a>?</p>

<p>EDIT: I'm not asking about documenting code (I use Sandcastle for that).</p>

<hr>

<h1>Update 2014:</h1>

<p>We have now switched to <a href=""https://help.github.com/articles/github-flavored-markdown"" rel=""nofollow noreferrer"">GFM (GitHub Flavored Markdown)</a>.</p>

<ul>
<li>It's really easy to work with.</li>
<li>Write code &amp; documentation in the same IDE!</li>
<li>Everything can be versioned!</li>
<li>Get great output either as raw txt, <a href=""https://github.com/chjj/marked"" rel=""nofollow noreferrer"">html</a> or <a href=""http://johnmacfarlane.net/pandoc/"" rel=""nofollow noreferrer"">pdf</a>!</li>
</ul>",ms-word documentation latex markdown github-flavored-markdown,21,https://stackoverflow.com/questions/862298,1,,
P,M,,32217733,1513,"What is ""__docformat__"" used for in Python?","<p>I have been coding for about a year now in Python and I have just come across some code in a <a href=""http://deeplearning.net/tutorial/code/mlp.py"" rel=""noreferrer"">Theano tutorial</a> that declares a variable at the top of the file:</p>

<pre><code>__docformat__ = 'restructedtext en'
</code></pre>

<p>Searching the internet produced <a href=""https://www.python.org/dev/peps/pep-0258/#choice-of-docstring-format"" rel=""noreferrer"">this</a> PEP documentation. Although it still doesn't clearly explain when / why you would want to specify this variable.</p>

<p>Should I be declaring it at the top of all my Python code?</p>",python coding-style documentation pep,1,https://stackoverflow.com/questions/32217733,,Background Information,Tools | Support | Using Feature
P,M,,14893927,1500,Writing jsdoc documentation on methods inside a class,"<p>I am writing some libraries in Google Apps Script and I am trying to document them. I have written some classes in the format below, and the comments of methods inside the class don't show up in the documentation :</p>

<pre><code>/**
* My comments here
*/
function MyBeautifulObject(){

 this.myMethod=myMethod;
 ....

 /**
 * This comment doesn't show up
 */

 function myMethod(){
 ...
 }

}
</code></pre>

<p>Any idea on how I could achieve this ?</p>",google-apps-script documentation jsdoc,2,https://stackoverflow.com/questions/14893927,,Background Information,Tool | Asking for Feature
P,M,,10289416,1409,Add different default and custom tags to Visual Studio XML Documentation,"<p>I am just learning how to use the XML documentation capabilities in visual studio and C#.</p>

<p>The default XML tags used in the documentation are ""summary"", ""param name"", and ""returns"".</p>

<p>I'd like to add ""remarks"" to the default tags. I'd also like to add custom tags.</p>

<p>I've looked through MSDN, the XML documentation tutorials, and stackoverflow and haven't found the way to do this. Any suggestions are much appreciated, and thanks!</p>

<p>Mark</p>",c# xml documentation xml-comments xml-documentation,1,https://stackoverflow.com/questions/10289416,,Implementation Strategies,Language | Comment Template | Modification
P,M,,10224571,1389,Documentation to the Google Calendar API php client library,"<p>I want to use the Google Calendar API php client library, it seems to work for the <a href=""http://code.google.com/p/google-api-php-client/source/browse/trunk/examples/calendar/simple.php"" rel=""nofollow"">basic example available</a> but I can't find any documentation/class-list/methods/api-explanation anywhere.</p>

<p>Are there anything available at all or do I have to dig the source file?</p>",php api documentation google-calendar-api google-api-php-client,2,https://stackoverflow.com/questions/10224571,1,,
P,M,,639156,1338,Make svcutil pick up documentation from C# files?,"<p>Folks,</p>

<p>I'm creating a new WCF Service and started with my Service interface. Looks something like:</p>

<pre><code> public interface ISomethingService
 {
 /// &lt;summary&gt;
 /// some description
 /// &lt;/summary&gt;
 /// &lt;version&gt;2.13.0&lt;/version&gt;
 /// &lt;copyright&gt;2009 by myself&lt;/copyright&gt;
 /// &lt;author&gt;Marc Scheuner&lt;/author&gt;
 /// &lt;param name=""request""&gt;The request object&lt;/param&gt;
 [OperationContract]
 SomethingResponse GetList(SomethingRequest request);
 }
</code></pre>

<p>Now, I also created some data contracts in another file describing the SomethingRequest and SomethingResponse messages.</p>

<p>I compiled my project and fired up svcutil.exe to extract the metadata (WSDL and XSD) from the DLL - but I can't seem to figure out if there's a way to get all my comments and explanations into the WSDL/XSD into / nodes.</p>

<p>Am I blind for yet another obscure svcutil.exe parameter, or is there really no way to generate this documentation in the metadata automatically??</p>

<p>EDIT: ok, based on Marc Gravell's answer, the comments and documentation strings aren't in either the compiled DLL, nor available over the MEX metadata exchange protocol (pity!).</p>

<p>SO THEN: How do you document your WCF services, if you need to give a third-party the information they need to access your service?? Is there a ""NService"" or ""Sandcastle for WCF"" tool around that would scan my WCF service library and construct the WSDL and XSD from source code, including the annotations??</p>

<p>Can't seem to find a whole lot of tools and ways to do this - to my big surprise, honestly....</p>

<p>Marc</p>",c# wcf documentation metadata xml-documentation,2,https://stackoverflow.com/questions/639156,,Limitation and Possibilites,Tools | Support | Using Feature
P,M,,5236858,1089,Writing Komodo Edit extensions in Python,<p>Has anybody got any idea how to write an extension for Komodo Edit 6 in Python?</p>,python documentation komodo komodoedit,2,https://stackoverflow.com/questions/5236858,1,,
P,M,,36224716,1083,JSDoc - Documenting a mixed array,"<p>In JsDoc, how to document an array accepting multiple object class like this:</p>

<pre><code>var arr = [new Foo(), new Bar()];
</code></pre>

<p>How to write the type such that <code>Foo</code> and <code>Bar</code> are the only class that are accepted in the array?</p>",javascript arrays documentation jsdoc,1,https://stackoverflow.com/questions/36224716,,Implementation Strategies,Tool | Syntax & Format | Class documentation
P,M,,10021364,971,Rails routes for an API documentation,"<p>I'm currently writing the documentation for the API of my website.</p>

<p>I'm not sure about the ""best"" way to write the routes. I think twitter does a good job and I'd like to copy their url structure:</p>

<pre><code>https://dev.twitter.com/docs/api
https://dev.twitter.com/docs/api/1/get/statuses/show/:id
https://dev.twitter.com/docs/api/1/post/statuses/retweet/:id
</code></pre>

<p>It would be something like:</p>

<pre><code> namespace :docs do
 resources :api do
 # and then... not sure
 end
 end
</code></pre>

<p>Not sure on how to write the routes for this part: <code>/get/statuses/show/:id</code>.</p>

<p>Should I just create a custom route?</p>

<pre><code>match ""/:verb/:resource/:action/:params"" =&gt; ""api#resource""
</code></pre>

<p>Or is there a better way?</p>

<hr>

<p>What I ended up with, might help someone :)</p>

<pre><code>Ibarcraft::Application.routes.draw do
 def api_versions; [:v1] end
 def api_verbs; [ :index, :show ] end

 constraints subdomain: ""api"" do
 scope module: ""api"", as: ""api"" do
 versions = api_versions

 versions.each do |version|
 namespace version, defaults: { format: ""json"" } do

 # all my routes
 resources :barcrafts, only: api_verbs do
 collection do
 get :search
 end
 scope module: ""barcraft"" do
 resources :users, only: [:index]
 end
 end
 # and more...

 end
 end

 match 'v:api/*path', to: redirect { |params, request| ""/#{versions.last}/#{params[:path]}"" + (params[:format] ? "".#{params[:format]}"" : """") }
 match '*path', to: redirect { |params, request| ""/#{versions.last}/#{params[:path]}"" + (params[:format] ? "".#{params[:format]}"" : """") }
 end
 end
end
</code></pre>",ruby-on-rails ruby-on-rails-3 rest documentation routes,1,https://stackoverflow.com/questions/10021364,1,,
P,M,,28568923,947,Unresolved assembly reference: UnityEngine Sandcastle,"<p>I want to create documentation from visual studio xml comments using Sandcastle Help File Builder.
My project developed with .Net 3.5 and its class library for Unity3d.
When i try to build documentation in Sandcastle all the time Sandcastle return this error :</p>

<blockquote>
 <p>MRefBuilder : error : Unresolved assembly reference: UnityEngine (UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null) required by FBCross [C:\Users\Ersin\Desktop\Test\gg\Help\Working\GenerateRefInfo.proj]</p>
 
 <p>SHFB: Error BE0043: Unexpected error detected in last build step. See
 output above for details. at
 SandcastleBuilder.Utils.BuildEngine.BuildProcess.RunProcess(String
 fileToRun, String args) at
 SandcastleBuilder.Utils.BuildEngine.BuildProcess.Build()</p>
</blockquote>

<p>How can i fix ?</p>",visual-studio unity3d documentation sandcastle,1,https://stackoverflow.com/questions/28568923,,Error,Tools | Support | Error
